,Points,Claim,participant,Condition,Extra Tasks
126,20,P2,par20,F,4
127,20,P2,par21,F,0
128,-20,P2,par22,F,14
129,-10,P2,par23,F,1
130,20,P2,par24,F,0
131,15,P2,par25,E,0
132,15,P2,par26,F,1
133,17,P2,par27,E,0
134,16,P2,par28,E,0
135,-10,P2,par29,F,12
136,16,P2,par30,E,0
137,16,P2,par31,E,0
138,20,P2,par32,F,0
139,20,P2,par33,E,1
140,19,P2,par34,E,1
141,6,P2,par35,F,0
142,20,P2,par36,F,1
143,15,P2,par37,F,0
144,-14,P2,par38,F,7
145,13,P2,par39,E,2
146,10,P2,par40,E,0
147,20,P2,par41,E,0
148,12,P2,par42,E,1
149,16,P2,par43,F,0
150,15,P2,par44,E,0
151,20,P2,par45,F,0
152,20,P2,par46,E,0
153,-15,P2,par47,F,5
154,19,P2,par48,E,1
155,17,P2,par49,F,0
156,19,P2,par50,F,0
157,16,P2,par51,F,0
158,19,P2,par52,E,1
159,-4,P2,par53,F,2
160,20,P2,par54,E,1
161,17,P2,par55,E,3
162,14,P2,par56,F,1
163,17,P2,par57,F,0
164,17,P2,par58,F,3
165,15,P2,par59,F,0
166,20,P2,par60,F,0
167,13,P2,par61,E,0
168,16,P2,par62,F,0
169,20,P2,par63,E,0
170,20,P2,par64,F,0
171,20,P2,par65,F,0
172,-14,P2,par66,E,4
173,-16,P2,par67,E,0
174,20,P2,par68,F,11
175,-20,P2,par69,F,3
176,-15,P2,par70,E,2
177,10,P2,par71,E,30
178,-10,P2,par72,F,8
179,20,P2,par73,F,7
180,19,P2,par74,E,0
181,18,P2,par75,E,0
182,-10,P2,par76,E,31
183,20,P2,par77,E,7
184,-17,P2,par78,F,11
185,2,P2,par79,F,0
186,13,P2,par80,E,0
187,-20,P2,par81,E,15
188,17,P2,par82,E,0
189,18,P2,par83,E,1
190,10,P2,par84,E,4
191,11,P2,par85,F,0
192,13,P2,par86,E,0
193,18,P2,par87,F,0
194,-20,P2,par88,F,2
195,5,P2,par89,F,4
196,-20,P2,par90,E,0
197,20,P2,par91,F,1
198,20,P2,par92,E,5
199,20,P2,par93,F,0
200,20,P2,par94,F,0
201,16,P2,par95,E,5
202,10,P2,par96,E,0
203,-10,P2,par97,E,24
204,15,P2,par98,F,0
205,-17,P2,par99,E,7
206,-18,P2,par100,E,2
207,20,P2,par101,F,0
208,16,P2,par102,E,1
209,20,P2,par103,F,1
210,20,P2,par104,E,3
211,20,P2,par105,F,5
212,-14,P3,par0,E,1
213,-8,P3,par1,F,0
214,-20,P3,par2,E,0
215,-12,P3,par3,F,1
216,19,P3,par4,E,1
217,9,P3,par5,E,0
218,-12,P3,par6,E,0
219,5,P3,par7,F,4
220,-14,P3,par8,F,0
221,-14,P3,par9,E,0
222,14,P3,par10,E,0
223,-16,P3,par11,F,1
224,-20,P3,par12,E,2
225,-13,P3,par13,E,0
226,10,P3,par14,F,7
227,-16,P3,par15,E,0
228,-19,P3,par16,E,0
229,-13,P3,par17,E,0
230,-12,P3,par18,E,0
231,-15,P3,par19,E,0
232,-20,P3,par20,F,4
233,-16,P3,par21,F,0
234,-20,P3,par22,F,14
235,-10,P3,par23,F,1
236,-20,P3,par24,F,0
237,-12,P3,par25,E,0
238,-20,P3,par26,F,1
239,19,P3,par27,E,0
240,-10,P3,par28,E,0
241,-20,P3,par29,F,12
242,-17,P3,par30,E,0
243,-19,P3,par31,E,0
244,18,P3,par32,F,0
245,16,P3,par33,E,1
246,-6,P3,par34,E,1
247,4,P3,par35,F,0
248,-15,P3,par36,F,1
249,13,P3,par37,F,0
250,-20,P3,par38,F,7
251,-12,P3,par39,E,2
252,10,P3,par40,E,0
253,-20,P3,par41,E,0
254,-18,P3,par42,E,1
255,-18,P3,par43,F,0
256,10,P3,par44,E,0
257,-15,P3,par45,F,0
258,-16,P3,par46,E,0
259,18,P3,par47,F,5
260,7,P3,par48,E,1
261,-15,P3,par49,F,0
262,-20,P3,par50,F,0
263,13,P3,par51,F,0
264,20,P3,par52,E,1
265,-8,P3,par53,F,2
266,12,P3,par54,E,1
267,-13,P3,par55,E,3
268,-10,P3,par56,F,1
269,-13,P3,par57,F,0
270,10,P3,par58,F,3
271,-20,P3,par59,F,0
272,-20,P3,par60,F,0
273,-14,P3,par61,E,0
274,-13,P3,par62,F,0
275,-13,P3,par63,E,0
276,7,P3,par64,F,0
277,-10,P3,par65,F,0
278,-14,P3,par66,E,4
279,-17,P3,par67,E,0
280,-17,P3,par68,F,11
281,-20,P3,par69,F,3
282,10,P3,par70,E,2
283,-19,P3,par71,E,30
284,-10,P3,par72,F,8
285,-17,P3,par73,F,7
286,-20,P3,par74,E,0
287,-19,P3,par75,E,0
288,-10,P3,par76,E,31
289,20,P3,par77,E,7
290,-19,P3,par78,F,11
291,-4,P3,par79,F,0
292,-10,P3,par80,E,0
293,20,P3,par81,E,15
294,-13,P3,par82,E,0
295,-12,P3,par83,E,1
296,15,P3,par84,E,4
297,-12,P3,par85,F,0
298,-10,P3,par86,E,0
299,-13,P3,par87,F,0
300,-14,P3,par88,F,2
301,4,P3,par89,F,4
302,20,P3,par90,E,0
303,-13,P3,par91,F,1
304,-10,P3,par92,E,5
305,-15,P3,par93,F,0
306,10,P3,par94,F,0
307,-19,P3,par95,E,5
308,18,P3,par96,E,0
309,10,P3,par97,E,24
310,-20,P3,par98,F,0
311,-16,P3,par99,E,7
312,10,P3,par100,E,2
313,-11,P3,par101,F,0
314,-14,P3,par102,E,1
315,-20,P3,par103,F,1
316,-12,P3,par104,E,3
317,-20,P3,par105,F,5
318,-14,P4,par0,E,1
319,18,P4,par1,F,0
320,-20,P4,par2,E,0
321,15,P4,par3,F,1
322,-19,P4,par4,E,1
323,-4,P4,par5,E,0
324,14,P4,par6,E,0
325,-8,P4,par7,F,4
326,20,P4,par8,F,0
327,20,P4,par9,E,0
328,17,P4,par10,E,0
329,20,P4,par11,F,1
330,20,P4,par12,E,2
331,13,P4,par13,E,0
332,10,P4,par14,F,7
333,14,P4,par15,E,0
334,17,P4,par16,E,0
335,16,P4,par17,E,0
336,14,P4,par18,E,0
337,20,P4,par19,E,0
338,20,P4,par20,F,4
339,-15,P4,par21,F,0
340,-20,P4,par22,F,14
341,-20,P4,par23,F,1
342,20,P4,par24,F,0
343,17,P4,par25,E,0
344,10,P4,par26,F,1
345,-10,P4,par27,E,0
346,13,P4,par28,E,0
347,20,P4,par29,F,12
348,14,P4,par30,E,0
349,16,P4,par31,E,0
350,20,P4,par32,F,0
351,16,P4,par33,E,1
352,16,P4,par34,E,1
353,13,P4,par35,F,0
354,13,P4,par36,F,1
355,4,P4,par37,F,0
356,-20,P4,par38,F,7
357,12,P4,par39,E,2
358,-10,P4,par40,E,0
359,20,P4,par41,E,0
360,11,P4,par42,E,1
361,20,P4,par43,F,0
362,-17,P4,par44,E,0
363,20,P4,par45,F,0
364,18,P4,par46,E,0
365,-18,P4,par47,F,5
366,20,P4,par48,E,1
367,14,P4,par49,F,0
368,20,P4,par50,F,0
369,-16,P4,par51,F,0
370,-16,P4,par52,E,1
371,-8,P4,par53,F,2
372,17,P4,par54,E,1
373,12,P4,par55,E,3
374,-10,P4,par56,F,1
375,-16,P4,par57,F,0
376,-20,P4,par58,F,3
377,12,P4,par59,F,0
378,20,P4,par60,F,0
379,7,P4,par61,E,0
380,18,P4,par62,F,0
381,17,P4,par63,E,0
382,20,P4,par64,F,0
383,20,P4,par65,F,0
384,10,P4,par66,E,4
385,18,P4,par67,E,0
386,20,P4,par68,F,11
387,-20,P4,par69,F,3
388,14,P4,par70,E,2
389,14,P4,par71,E,30
390,-10,P4,par72,F,8
391,13,P4,par73,F,7
392,17,P4,par74,E,0
393,19,P4,par75,E,0
394,-10,P4,par76,E,31
395,-20,P4,par77,E,7
396,16,P4,par78,F,11
397,-20,P4,par79,F,0
398,-17,P4,par80,E,0
399,20,P4,par81,E,15
400,18,P4,par82,E,0
401,19,P4,par83,E,1
402,10,P4,par84,E,4
403,15,P4,par85,F,0
404,15,P4,par86,E,0
405,20,P4,par87,F,0
406,-13,P4,par88,F,2
407,-4,P4,par89,F,4
408,-20,P4,par90,E,0
409,14,P4,par91,F,1
410,-10,P4,par92,E,5
411,20,P4,par93,F,0
412,10,P4,par94,F,0
413,19,P4,par95,E,5
414,-18,P4,par96,E,0
415,-10,P4,par97,E,24
416,20,P4,par98,F,0
417,17,P4,par99,E,7
418,15,P4,par100,E,2
419,-20,P4,par101,F,0
420,18,P4,par102,E,1
421,20,P4,par103,F,1
422,8,P4,par104,E,3
423,20,P4,par105,F,5
424,-15,P5,par0,E,1
425,20,P5,par1,F,0
426,-20,P5,par2,E,0
427,18,P5,par3,F,1
428,0,P5,par4,E,1
429,17,P5,par5,E,0
430,-8,P5,par6,E,0
431,-6,P5,par7,F,4
432,13,P5,par8,F,0
433,-10,P5,par9,E,0
434,20,P5,par10,E,0
435,13,P5,par11,F,1
436,20,P5,par12,E,2
437,10,P5,par13,E,0
438,-10,P5,par14,F,7
439,15,P5,par15,E,0
440,15,P5,par16,E,0
441,18,P5,par17,E,0
442,18,P5,par18,E,0
443,15,P5,par19,E,0
444,20,P5,par20,F,4
445,14,P5,par21,F,0
446,20,P5,par22,F,14
447,20,P5,par23,F,1
448,20,P5,par24,F,0
449,14,P5,par25,E,0
450,20,P5,par26,F,1
451,16,P5,par27,E,0
452,12,P5,par28,E,0
453,20,P5,par29,F,12
454,14,P5,par30,E,0
455,18,P5,par31,E,0
456,20,P5,par32,F,0
457,16,P5,par33,E,1
458,19,P5,par34,E,1
459,12,P5,par35,F,0
460,18,P5,par36,F,1
461,12,P5,par37,F,0
462,20,P5,par38,F,7
463,13,P5,par39,E,2
464,10,P5,par40,E,0
465,20,P5,par41,E,0
466,18,P5,par42,E,1
467,18,P5,par43,F,0
468,17,P5,par44,E,0
469,10,P5,par45,F,0
470,20,P5,par46,E,0
471,19,P5,par47,F,5
472,-4,P5,par48,E,1
473,18,P5,par49,F,0
474,20,P5,par50,F,0
475,16,P5,par51,F,0
476,0,P5,par52,E,1
477,2,P5,par53,F,2
478,-12,P5,par54,E,1
479,17,P5,par55,E,3
480,-13,P5,par56,F,1
481,18,P5,par57,F,0
482,-15,P5,par58,F,3
483,12,P5,par59,F,0
484,20,P5,par60,F,0
485,10,P5,par61,E,0
486,20,P5,par62,F,0
487,20,P5,par63,E,0
488,20,P5,par64,F,0
489,18,P5,par65,F,0
490,10,P5,par66,E,4
491,19,P5,par67,E,0
492,19,P5,par68,F,11
493,-20,P5,par69,F,3
494,17,P5,par70,E,2
495,-12,P5,par71,E,30
496,10,P5,par72,F,8
497,12,P5,par73,F,7
498,15,P5,par74,E,0
499,20,P5,par75,E,0
500,11,P5,par76,E,31
501,0,P5,par77,E,7
502,17,P5,par78,F,11
503,-15,P5,par79,F,0
504,16,P5,par80,E,0
505,-20,P5,par81,E,15
506,19,P5,par82,E,0
507,13,P5,par83,E,1
508,20,P5,par84,E,4
509,15,P5,par85,F,0
510,14,P5,par86,E,0
511,18,P5,par87,F,0
512,20,P5,par88,F,2
513,-20,P5,par89,F,4
514,-11,P5,par90,E,0
515,-12,P5,par91,F,1
516,0,P5,par92,E,5
517,20,P5,par93,F,0
518,19,P5,par94,F,0
519,17,P5,par95,E,5
520,19,P5,par96,E,0
521,10,P5,par97,E,24
522,19,P5,par98,F,0
523,15,P5,par99,E,7
524,-14,P5,par100,E,2
525,10,P5,par101,F,0
526,14,P5,par102,E,1
527,20,P5,par103,F,1
528,12,P5,par104,E,3
529,20,P5,par105,F,5
