,interface,Human Error,Claim,participant,Model Correct,Model Wrong
72,A,1,Ep1,P72,0,0
73,B,1,Ep1,P73,2,8
74,A,0,Ep1,P74,0,0
75,A,3,Ep1,P75,0,0
76,B,3,Ep1,P76,2,8
77,A,1,Ep1,P77,0,0
78,B,3,Ep1,P78,2,8
79,A,1,Ep1,P79,0,0
80,B,0,Ep1,P80,2,8
81,B,1,Ep1,P81,2,8
82,B,2,Ep1,P82,2,8
83,B,1,Ep1,P83,2,8
84,B,3,Ep1,P84,2,8
85,B,0,Ep1,P85,2,8
86,B,0,Ep1,P86,2,8
87,A,1,Ep1,P87,0,0
88,A,3,Ep1,P88,0,0
89,B,1,Ep1,P89,2,8
90,A,0,Ep1,P90,0,0
91,A,1,Ep1,P91,0,0
92,B,2,Ep1,P92,2,8
93,B,3,Ep1,P93,2,8
94,A,1,Ep1,P94,0,0
95,A,1,Ep1,P95,0,0
96,B,2,Ep1,P96,2,8
97,A,0,Ep1,P97,0,0
98,A,1,Ep1,P98,0,0
99,A,0,Ep1,P99,0,0
100,B,0,Ep1,P100,2,8
101,B,2,Ep1,P101,2,8
102,B,3,Ep1,P102,2,8
103,A,1,Ep1,P103,0,0
104,A,0,Ep1,P104,0,0
105,B,2,Ep1,P105,2,8
106,B,3,Ep1,P106,2,8
107,A,3,Ep1,P107,0,0
108,B,1,Ep1,P108,2,8
109,B,3,Ep1,P109,2,8
110,B,3,Ep1,P110,2,8
111,B,3,Ep1,P111,2,8
112,B,3,Ep1,P112,2,8
113,A,1,Ep2,P0,0,0
114,B,2,Ep2,P1,1,9
115,A,3,Ep2,P2,0,0
116,B,3,Ep2,P3,1,9
117,A,4,Ep2,P4,0,0
118,A,2,Ep2,P5,0,0
119,A,3,Ep2,P6,0,0
120,A,4,Ep2,P7,0,0
121,B,1,Ep2,P8,1,9
122,A,3,Ep2,P9,0,0
123,B,2,Ep2,P10,1,9
124,A,3,Ep2,P11,0,0
125,B,1,Ep2,P12,1,9
126,A,3,Ep2,P13,0,0
127,A,3,Ep2,P14,0,0
128,A,1,Ep2,P15,0,0
129,B,1,Ep2,P16,1,9
130,B,4,Ep2,P17,1,9
131,A,0,Ep2,P18,0,0
132,B,2,Ep2,P19,1,9
133,A,3,Ep2,P20,0,0
134,B,2,Ep2,P21,1,9
135,B,0,Ep2,P22,1,9
136,A,3,Ep2,P23,0,0
137,A,3,Ep2,P24,0,0
138,A,1,Ep2,P25,0,0
139,B,3,Ep2,P26,1,9
140,A,0,Ep2,P27,0,0
141,B,3,Ep2,P28,1,9
142,B,3,Ep2,P29,1,9
143,A,3,Ep2,P30,0,0
144,A,2,Ep2,P31,0,0
145,B,2,Ep2,P32,1,9
146,A,3,Ep2,P33,0,0
147,A,1,Ep2,P34,0,0
148,B,3,Ep2,P35,1,9
149,A,3,Ep2,P36,0,0
150,A,3,Ep2,P37,0,0
151,B,4,Ep2,P38,1,9
152,B,2,Ep2,P39,1,9
153,A,0,Ep2,P40,0,0
154,B,3,Ep2,P41,1,9
155,A,2,Ep2,P42,0,0
156,A,0,Ep2,P43,0,0
157,B,0,Ep2,P44,1,9
158,A,2,Ep2,P45,0,0
159,B,2,Ep2,P46,1,9
160,B,2,Ep2,P47,1,9
161,A,3,Ep2,P48,0,0
162,A,0,Ep2,P49,0,0
163,B,2,Ep2,P50,1,9
164,A,0,Ep2,P51,0,0
165,A,2,Ep2,P52,0,0
166,A,1,Ep2,P53,0,0
167,B,1,Ep2,P54,1,9
168,A,3,Ep2,P55,0,0
169,A,2,Ep2,P56,0,0
170,A,2,Ep2,P57,0,0
171,B,2,Ep2,P58,1,9
172,A,0,Ep2,P59,0,0
173,A,1,Ep2,P60,0,0
174,B,2,Ep2,P61,1,9
175,B,1,Ep2,P62,1,9
176,A,2,Ep2,P63,0,0
177,A,2,Ep2,P64,0,0
178,B,1,Ep2,P65,1,9
179,B,1,Ep2,P66,1,9
180,B,1,Ep2,P67,1,9
181,B,3,Ep2,P68,1,9
182,B,1,Ep2,P69,1,9
183,B,2,Ep2,P70,1,9
184,B,2,Ep2,P71,1,9
185,A,0,Ep2,P72,0,0
186,B,3,Ep2,P73,1,9
187,A,4,Ep2,P74,0,0
188,A,2,Ep2,P75,0,0
189,B,2,Ep2,P76,1,9
190,A,1,Ep2,P77,0,0
191,B,3,Ep2,P78,1,9
192,A,2,Ep2,P79,0,0
193,B,4,Ep2,P80,1,9
194,B,1,Ep2,P81,1,9
195,B,2,Ep2,P82,1,9
196,B,1,Ep2,P83,1,9
197,B,3,Ep2,P84,1,9
198,B,0,Ep2,P85,1,9
199,B,1,Ep2,P86,1,9
200,A,0,Ep2,P87,0,0
201,A,2,Ep2,P88,0,0
202,B,3,Ep2,P89,1,9
203,A,0,Ep2,P90,0,0
204,A,0,Ep2,P91,0,0
205,B,1,Ep2,P92,1,9
206,B,2,Ep2,P93,1,9
207,A,1,Ep2,P94,0,0
208,A,0,Ep2,P95,0,0
209,B,1,Ep2,P96,1,9
210,A,3,Ep2,P97,0,0
211,A,1,Ep2,P98,0,0
212,A,0,Ep2,P99,0,0
213,B,0,Ep2,P100,1,9
214,B,1,Ep2,P101,1,9
215,B,0,Ep2,P102,1,9
216,A,0,Ep2,P103,0,0
217,A,0,Ep2,P104,0,0
218,B,2,Ep2,P105,1,9
219,B,1,Ep2,P106,1,9
220,A,1,Ep2,P107,0,0
221,B,0,Ep2,P108,1,9
222,B,1,Ep2,P109,1,9
223,B,3,Ep2,P110,1,9
224,B,3,Ep2,P111,1,9
225,B,3,Ep2,P112,1,9
226,A,2,Ep3,P0,0,0
227,B,3,Ep3,P1,5,2
228,A,4,Ep3,P2,0,0
229,B,3,Ep3,P3,5,2
230,A,3,Ep3,P4,0,0
231,A,2,Ep3,P5,0,0
232,A,4,Ep3,P6,0,0
233,A,4,Ep3,P7,0,0
234,B,3,Ep3,P8,5,2
235,A,3,Ep3,P9,0,0
236,B,3,Ep3,P10,5,2
237,A,4,Ep3,P11,0,0
238,B,3,Ep3,P12,5,2
239,A,4,Ep3,P13,0,0
240,A,3,Ep3,P14,0,0
241,A,3,Ep3,P15,0,0
242,B,3,Ep3,P16,5,2
243,B,2,Ep3,P17,5,2
244,A,4,Ep3,P18,0,0
245,B,4,Ep3,P19,5,2
246,A,4,Ep3,P20,0,0
247,B,3,Ep3,P21,5,2
248,B,3,Ep3,P22,5,2
249,A,2,Ep3,P23,0,0
250,A,1,Ep3,P24,0,0
251,A,3,Ep3,P25,0,0
252,B,3,Ep3,P26,5,2
253,A,4,Ep3,P27,0,0
254,B,2,Ep3,P28,5,2
255,B,2,Ep3,P29,5,2
256,A,2,Ep3,P30,0,0
257,A,2,Ep3,P31,0,0
258,B,3,Ep3,P32,5,2
259,A,3,Ep3,P33,0,0
260,A,4,Ep3,P34,0,0
261,B,2,Ep3,P35,5,2
262,A,3,Ep3,P36,0,0
263,A,4,Ep3,P37,0,0
264,B,2,Ep3,P38,5,2
265,B,3,Ep3,P39,5,2
266,A,4,Ep3,P40,0,0
267,B,1,Ep3,P41,5,2
268,A,2,Ep3,P42,0,0
269,A,4,Ep3,P43,0,0
270,B,3,Ep3,P44,5,2
271,A,3,Ep3,P45,0,0
272,B,3,Ep3,P46,5,2
273,B,2,Ep3,P47,5,2
274,A,3,Ep3,P48,0,0
275,A,3,Ep3,P49,0,0
276,B,1,Ep3,P50,5,2
277,A,3,Ep3,P51,0,0
278,A,2,Ep3,P52,0,0
279,A,3,Ep3,P53,0,0
280,B,3,Ep3,P54,5,2
281,A,3,Ep3,P55,0,0
282,A,3,Ep3,P56,0,0
283,A,3,Ep3,P57,0,0
284,B,3,Ep3,P58,5,2
285,A,3,Ep3,P59,0,0
286,A,3,Ep3,P60,0,0
287,B,3,Ep3,P61,5,2
288,B,3,Ep3,P62,5,2
289,A,4,Ep3,P63,0,0
290,A,3,Ep3,P64,0,0
291,B,4,Ep3,P65,5,2
292,B,3,Ep3,P66,5,2
293,B,3,Ep3,P67,5,2
294,B,4,Ep3,P68,5,2
295,B,3,Ep3,P69,5,2
296,B,3,Ep3,P70,5,2
297,B,3,Ep3,P71,5,2
298,A,4,Ep3,P72,0,0
299,B,3,Ep3,P73,5,2
300,A,4,Ep3,P74,0,0
301,A,2,Ep3,P75,0,0
302,B,3,Ep3,P76,5,2
303,A,3,Ep3,P77,0,0
304,B,4,Ep3,P78,5,2
305,A,3,Ep3,P79,0,0
306,B,3,Ep3,P80,5,2
307,B,3,Ep3,P81,5,2
308,B,2,Ep3,P82,5,2
309,B,3,Ep3,P83,5,2
310,B,3,Ep3,P84,5,2
311,B,3,Ep3,P85,5,2
312,B,1,Ep3,P86,5,2
313,A,4,Ep3,P87,0,0
314,A,1,Ep3,P88,0,0
315,B,4,Ep3,P89,5,2
316,A,4,Ep3,P90,0,0
317,A,4,Ep3,P91,0,0
318,B,1,Ep3,P92,5,2
319,B,3,Ep3,P93,5,2
320,A,4,Ep3,P94,0,0
321,A,3,Ep3,P95,0,0
322,B,3,Ep3,P96,5,2
323,A,4,Ep3,P97,0,0
324,A,4,Ep3,P98,0,0
325,A,3,Ep3,P99,0,0
326,B,4,Ep3,P100,5,2
327,B,3,Ep3,P101,5,2
328,B,4,Ep3,P102,5,2
329,A,1,Ep3,P103,0,0
330,A,3,Ep3,P104,0,0
331,B,3,Ep3,P105,5,2
332,B,3,Ep3,P106,5,2
333,A,3,Ep3,P107,0,0
334,B,3,Ep3,P108,5,2
335,B,4,Ep3,P109,5,2
336,B,4,Ep3,P110,5,2
337,B,4,Ep3,P111,5,2
338,B,4,Ep3,P112,5,2
339,A,1,Ep4,P0,0,0
340,B,0,Ep4,P1,8,0
341,A,0,Ep4,P2,0,0
342,B,0,Ep4,P3,8,0
343,A,0,Ep4,P4,0,0
344,A,1,Ep4,P5,0,0
345,A,2,Ep4,P6,0,0
346,A,0,Ep4,P7,0,0
347,B,3,Ep4,P8,8,0
348,A,1,Ep4,P9,0,0
349,B,0,Ep4,P10,8,0
350,A,0,Ep4,P11,0,0
351,B,0,Ep4,P12,8,0
352,A,0,Ep4,P13,0,0
353,A,0,Ep4,P14,0,0
354,A,0,Ep4,P15,0,0
355,B,0,Ep4,P16,8,0
356,B,1,Ep4,P17,8,0
357,A,0,Ep4,P18,0,0
358,B,0,Ep4,P19,8,0
359,A,0,Ep4,P20,0,0
360,B,0,Ep4,P21,8,0
361,B,0,Ep4,P22,8,0
362,A,2,Ep4,P23,0,0
363,A,1,Ep4,P24,0,0
364,A,1,Ep4,P25,0,0
365,B,1,Ep4,P26,8,0
366,A,0,Ep4,P27,0,0
367,B,1,Ep4,P28,8,0
368,B,1,Ep4,P29,8,0
369,A,1,Ep4,P30,0,0
370,A,1,Ep4,P31,0,0
371,B,1,Ep4,P32,8,0
372,A,1,Ep4,P33,0,0
373,A,1,Ep4,P34,0,0
374,B,1,Ep4,P35,8,0
375,A,1,Ep4,P36,0,0
376,A,1,Ep4,P37,0,0
377,B,1,Ep4,P38,8,0
378,B,0,Ep4,P39,8,0
379,A,0,Ep4,P40,0,0
380,B,3,Ep4,P41,8,0
381,A,2,Ep4,P42,0,0
382,A,0,Ep4,P43,0,0
383,B,0,Ep4,P44,8,0
384,A,0,Ep4,P45,0,0
385,B,1,Ep4,P46,8,0
386,B,2,Ep4,P47,8,0
387,A,1,Ep4,P48,0,0
388,A,0,Ep4,P49,0,0
389,B,0,Ep4,P50,8,0
390,A,0,Ep4,P51,0,0
391,A,2,Ep4,P52,0,0
392,A,2,Ep4,P53,0,0
393,B,0,Ep4,P54,8,0
394,A,1,Ep4,P55,0,0
395,A,1,Ep4,P56,0,0
396,A,1,Ep4,P57,0,0
397,B,1,Ep4,P58,8,0
398,A,0,Ep4,P59,0,0
399,A,1,Ep4,P60,0,0
400,B,1,Ep4,P61,8,0
401,B,1,Ep4,P62,8,0
402,A,0,Ep4,P63,0,0
403,A,1,Ep4,P64,0,0
404,B,1,Ep4,P65,8,0
405,B,0,Ep4,P66,8,0
406,B,0,Ep4,P67,8,0
407,B,0,Ep4,P68,8,0
408,B,1,Ep4,P69,8,0
409,B,2,Ep4,P70,8,0
410,B,1,Ep4,P71,8,0
411,A,0,Ep4,P72,0,0
412,B,1,Ep4,P73,8,0
413,A,0,Ep4,P74,0,0
414,A,0,Ep4,P75,0,0
415,B,0,Ep4,P76,8,0
416,A,0,Ep4,P77,0,0
417,B,1,Ep4,P78,8,0
418,A,1,Ep4,P79,0,0
419,B,4,Ep4,P80,8,0
420,B,0,Ep4,P81,8,0
421,B,3,Ep4,P82,8,0
422,B,2,Ep4,P83,8,0
423,B,2,Ep4,P84,8,0
424,B,0,Ep4,P85,8,0
425,B,1,Ep4,P86,8,0
426,A,3,Ep4,P87,0,0
427,A,1,Ep4,P88,0,0
428,B,0,Ep4,P89,8,0
429,A,0,Ep4,P90,0,0
430,A,0,Ep4,P91,0,0
431,B,0,Ep4,P92,8,0
432,B,1,Ep4,P93,8,0
433,A,1,Ep4,P94,0,0
434,A,1,Ep4,P95,0,0
435,B,0,Ep4,P96,8,0
436,A,0,Ep4,P97,0,0
437,A,0,Ep4,P98,0,0
438,A,1,Ep4,P99,0,0
439,B,0,Ep4,P100,8,0
440,B,0,Ep4,P101,8,0
441,B,0,Ep4,P102,8,0
442,A,4,Ep4,P103,0,0
443,A,0,Ep4,P104,0,0
444,B,0,Ep4,P105,8,0
445,B,1,Ep4,P106,8,0
446,A,1,Ep4,P107,0,0
447,B,0,Ep4,P108,8,0
448,B,1,Ep4,P109,8,0
449,B,0,Ep4,P110,8,0
450,B,0,Ep4,P111,8,0
451,B,0,Ep4,P112,8,0
452,A,0,Ep5,P0,0,0
453,B,0,Ep5,P1,10,0
454,A,1,Ep5,P2,0,0
455,B,0,Ep5,P3,10,0
456,A,2,Ep5,P4,0,0
457,A,1,Ep5,P5,0,0
458,A,1,Ep5,P6,0,0
459,A,0,Ep5,P7,0,0
460,B,1,Ep5,P8,10,0
461,A,1,Ep5,P9,0,0
462,B,0,Ep5,P10,10,0
463,A,0,Ep5,P11,0,0
464,B,0,Ep5,P12,10,0
465,A,0,Ep5,P13,0,0
466,A,1,Ep5,P14,0,0
467,A,0,Ep5,P15,0,0
468,B,1,Ep5,P16,10,0
469,B,1,Ep5,P17,10,0
470,A,0,Ep5,P18,0,0
471,B,0,Ep5,P19,10,0
472,A,0,Ep5,P20,0,0
473,B,0,Ep5,P21,10,0
474,B,0,Ep5,P22,10,0
475,A,1,Ep5,P23,0,0
476,A,0,Ep5,P24,0,0
477,A,1,Ep5,P25,0,0
478,B,1,Ep5,P26,10,0
479,A,0,Ep5,P27,0,0
480,B,2,Ep5,P28,10,0
481,B,1,Ep5,P29,10,0
482,A,1,Ep5,P30,0,0
483,A,1,Ep5,P31,0,0
484,B,1,Ep5,P32,10,0
485,A,0,Ep5,P33,0,0
486,A,0,Ep5,P34,0,0
487,B,1,Ep5,P35,10,0
488,A,1,Ep5,P36,0,0
489,A,1,Ep5,P37,0,0
490,B,1,Ep5,P38,10,0
491,B,0,Ep5,P39,10,0
492,A,0,Ep5,P40,0,0
493,B,3,Ep5,P41,10,0
494,A,2,Ep5,P42,0,0
495,A,0,Ep5,P43,0,0
496,B,0,Ep5,P44,10,0
497,A,0,Ep5,P45,0,0
498,B,0,Ep5,P46,10,0
499,B,1,Ep5,P47,10,0
500,A,1,Ep5,P48,0,0
501,A,1,Ep5,P49,0,0
502,B,0,Ep5,P50,10,0
503,A,0,Ep5,P51,0,0
504,A,1,Ep5,P52,0,0
505,A,0,Ep5,P53,0,0
506,B,1,Ep5,P54,10,0
507,A,4,Ep5,P55,0,0
508,A,1,Ep5,P56,0,0
509,A,0,Ep5,P57,0,0
510,B,0,Ep5,P58,10,0
511,A,0,Ep5,P59,0,0
512,A,1,Ep5,P60,0,0
513,B,0,Ep5,P61,10,0
514,B,1,Ep5,P62,10,0
515,A,0,Ep5,P63,0,0
516,A,1,Ep5,P64,0,0
517,B,1,Ep5,P65,10,0
518,B,1,Ep5,P66,10,0
519,B,0,Ep5,P67,10,0
520,B,0,Ep5,P68,10,0
521,B,1,Ep5,P69,10,0
522,B,1,Ep5,P70,10,0
523,B,0,Ep5,P71,10,0
524,A,0,Ep5,P72,0,0
525,B,2,Ep5,P73,10,0
526,A,0,Ep5,P74,0,0
527,A,0,Ep5,P75,0,0
528,B,0,Ep5,P76,10,0
529,A,0,Ep5,P77,0,0
530,B,0,Ep5,P78,10,0
531,A,0,Ep5,P79,0,0
532,B,0,Ep5,P80,10,0
533,B,0,Ep5,P81,10,0
534,B,2,Ep5,P82,10,0
535,B,1,Ep5,P83,10,0
536,B,2,Ep5,P84,10,0
537,B,0,Ep5,P85,10,0
538,B,1,Ep5,P86,10,0
539,A,0,Ep5,P87,0,0
540,A,0,Ep5,P88,0,0
541,B,0,Ep5,P89,10,0
542,A,0,Ep5,P90,0,0
543,A,0,Ep5,P91,0,0
544,B,0,Ep5,P92,10,0
545,B,1,Ep5,P93,10,0
546,A,0,Ep5,P94,0,0
547,A,0,Ep5,P95,0,0
548,B,1,Ep5,P96,10,0
549,A,0,Ep5,P97,0,0
550,A,0,Ep5,P98,0,0
551,A,1,Ep5,P99,0,0
552,B,0,Ep5,P100,10,0
553,B,0,Ep5,P101,10,0
554,B,0,Ep5,P102,10,0
555,A,2,Ep5,P103,0,0
556,A,1,Ep5,P104,0,0
557,B,0,Ep5,P105,10,0
558,B,0,Ep5,P106,10,0
559,A,0,Ep5,P107,0,0
560,B,0,Ep5,P108,10,0
561,B,0,Ep5,P109,10,0
562,B,0,Ep5,P110,10,0
563,B,0,Ep5,P111,10,0
564,B,0,Ep5,P112,10,0
